1/22/2018  8:35:05.179 Submitted wifi awd metric <0x9000e> with no error
11/22/2018  8:35:05.179 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/22/2018  8:35:05.179 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/22/2018  8:35:05.180 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType received:10 eventName:WiFiSoftErrorEventDriverAvailable
11/22/2018  8:35:05.180 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: Invalid SoftErrorEvent:10
11/22/2018  8:35:05.180 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: ErrorDetection to be filtered:0 for event:10
11/22/2018  8:35:05.180 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType:(10) Unknown
11/22/2018  8:35:05.213 WiFiCellularNotificationsStartMonitoring_block_invoke: update cellularTxStarted 0, isShort 0
11/22/2018  8:35:05.222 Disable WoW requested by "mediaserverd"
11/22/2018  8:35:05.222 MIS state is Disabled
11/22/2018  8:35:05.222 MIS state queried by "apsd" is Disable
11/22/2018  8:35:05.231 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/22/2018  8:35:05.234 Completed Apple80211ScanAsync on en0 (0x0)
11/22/2018  8:35:05.234 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/22/2018  8:35:05.235 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 10, trimmedScanResults count: 10, filteredScanResults count: 10 
11/22/2018  8:35:05.235 __WiFiDeviceAddScanCacheEntry: 3 scan cache entries exist. Creating a scan cache entry with 10 scanResults
11/22/2018  8:35:05.237 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 4, cache entries after update: 1 
11/22/2018  8:35:05.237 Auto join scan completed (0) with current state: Scanning Previous Network Channel
11/22/2018  8:35:05.237 Ignorning old request.  CurrentCommand=257 PendingCommand=258
11/22/2018  8:35:05.237 Dequeuing command type: "Scan" pending commands: 0
11/22/2018  8:35:05.237 Attempting Apple80211ScanAsync on en0
11/22/2018  8:35:05.237 __WiFiDeviceCopyPreparedScanResults: maxAge 0 seconds, numCacheEntries: 0, cacheEntryUsable 0, cacheUsable 0, scanResultsFound 0, scanResults count: 0, scanChannelSet count: 0 
11/22/2018  8:35:05.237 __WiFiDeviceCopyPreparedScanResults: network records count: 0 
11/22/2018  8:35:05.269 locationd requesting addition of BGScan networks.
11/22/2018  8:35:05.275 Preparing background scan request for "PhoneReset" "60:c5:47:4f:51:1d ~ EN" "60:c5:47:4d:cd:6f ~ EN" "60:c5:47:4f:51:1c ~ EN" on channels: 1 6 11 Background Scan Caching is Enabled
11/22/2018  8:35:05.286 age diff 1145.861694, accuracy diff 0.000000
11/22/2018  8:35:05.286 didUpdateLocations: latitude=+29.756422, longitude=-98.692638 Accuracy=65.000000  timeIntervalSinceNow=0.016875secs source=WiFi
11/22/2018  8:35:05.286 WiFiDeviceRequestAssociatedSleep: ActiveDuringSleepRequested is already removed ((null)).
11/22/2018  8:35:05.287 MIS state is Disabled
11/22/2018  8:35:05.287 MIS state queried by "locationd" is Disable
11/22/2018  8:35:05.288 MIS state is Disabled
11/22/2018  8:35:05.288 MIS state queried by "imagent" is Disable
11/22/2018  8:35:05.288 MIS state is Disabled
11/22/2018  8:35:05.288 MIS state queried by "CommCenter" is Disable
11/22/2018  8:35:05.289 MIS state is Disabled
11/22/2018  8:35:05.289 MIS state queried by "identityservices" is Disable
11/22/2018  8:35:05.289 MIS state is Disabled
11/22/2018  8:35:05.289 MIS state queried by "UserEventAgent" is Disable
11/22/2018  8:35:05.289 MIS state is Disabled
11/22/2018  8:35:05.289 MIS state queried by "mediaserverd" is Disable
11/22/2018  8:35:05.293 MIS state is Disabled
11/22/2018  8:35:05.293 MIS state queried by "SpringBoard" is Disable
11/22/2018  8:35:05.296 WiFiManagerGetUserAutoJoinState: user auto join state 1
11/22/2018  8:35:05.296 User auto join state queried by "SpringBoard" is Enable
11/22/2018  8:35:05.296 MIS state is Disabled
11/22/2018  8:35:05.296 MIS state queried by "callservicesd" is Disable
11/22/2018  8:35:05.298 MIS state is Disabled
11/22/2018  8:35:05.298 MIS state queried by "nanoregistryd" is Disable
11/22/2018  8:35:05.298 MIS state is Disabled
11/22/2018  8:35:05.298 MIS state queried by "calaccessd" is Disable
11/22/2018  8:35:05.301 apsd[106] is a wow client
11/22/2018  8:35:05.301 WoW is Enabled, 1 WoW Clients
11/22/2018  8:35:05.304 apsd[106] is a wow client
11/22/2018  8:35:05.304 WoW is Enabled, 1 WoW Clients
11/22/2018  8:35:05.386 Completed Apple80211ScanAsync on en0 (0x0)
11/22/2018  8:35:05.386 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/22/2018  8:35:05.386 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 10, trimmedScanResults count: 10, filteredScanResults count: 10 
11/22/2018  8:35:05.386 __WiFiDeviceAddScanCacheEntry: 1 scan cache entries exist. Creating a scan cache entry with 10 scanResults
11/22/2018  8:35:05.387 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 2, cache entries after update: 2 
11/22/2018  8:35:05.387 Auto join scan completed (0) with current state: Scanning Previous Network Channel
